348.28965, 356.29222, 376.32091, 378.29993, 390.33657, 418.33179
313.1929, 332.25835, 341.2087, 353.20869, 355.22434, 373.23486
336.28969, 402.2614, 404.2770851277154, 406.2925856614979, 422.28735, 446.25122
315.19281, 343.18776, 366.26384, 373.1986, 375.21428, 387.21407
304.26094, 316.26123, 318.24287, 320.2584, 322.27402, 346.271564930679
281.17234, 286.20129, 288.21687, 316.21183, 344.20693, 365.1569569614478
385.12888, 469.04946, 705.50671, 728.51951, 766.53508, 772.58519
306.27658, 348.287165475153, 353.31649, 370.29507573532044, 372.3106923973421, 388.30549
394.3289, 398.32640195037504, 400.34208, 412.34217, 455.3484, 482.35848
442.352746188127, 443.27638, 445.29234, 459.30795, 463.30346, 488.29808
426.37032, 432.34715, 434.3628, 448.37847, 478.38888, 501.35475
381.29764, 392.31328, 396.31080529956125, 408.30835, 414.3213279285274, 498.25946
293.1875, 305.18729, 316.22709, 321.1825, 339.19303, 363.16244
300.28957, 344.27958512152816, 353.26594, 356.27956, 380.27694, 386.28985
369.25372, 371.26932, 385.28494, 415.29546, 431.29038, 449.30079
230.24793, 272.25865, 290.26908, 316.2482056481534, 330.22746, 360.23794
