356.27956, 396.31080529956125, 414.3213279285274, 420.2716870017801, 422.28735
371.26932, 373.28491, 415.29546, 417.31107, 438.26127
416.33674, 424.30308, 426.35769, 442.352746188127, 458.34736
305.18729, 323.19813, 339.19303, 357.20361, 371.21921
469.04946, 726.50376, 746.60519, 772.58519, 796.58188
318.24287, 327.22941, 332.25835, 353.20869, 383.23083
295.20317, 304.26324, 307.2032, 311.19811, 325.21377
337.17737, 339.15653, 351.15662, 351.19307, 381.16727
357.25357, 383.20981, 387.26422, 397.24623, 417.27475
360.32353, 376.31838, 398.32640195037504, 404.31374, 406.32907
322.27402, 336.28969, 374.3027759010889, 388.28196, 390.29770295545103
416.35231258675026, 418.36788, 436.37869, 478.38888, 479.38419
334.27405, 352.28454, 370.29507573532044, 372.3106923973421, 404.2770851277154
300.28957, 344.27958512152816, 364.28205, 372.27464, 406.2925856614979
185.0421, 203.0526, 233.04224, 260.05329, 837.54827
432.34715, 448.37847, 450.35762, 452.37322, 464.3732
