718.49963, 310.12844, 123.05534451026418, 538.38899, 311.19811
343.20191, 444.22274, 914.59595, 132.07677, 432.27815
393.13081, 393.15187, 772.58519, 762.48933, 410.12148
615.47491, 372.28702, 231.01109, 372.3106923973421, 345.275
390.29770295545103, 382.25869, 675.45914, 673.47972, 459.37914
281.17234, 156.02669, 733.52023, 428.3733, 360.21453
346.271564930679, 552.41039, 507.29287, 617.45401, 337.17737
476.43103, 645.39668, 725.47486, 531.38651, 502.24333
392.29227, 393.13081, 397.27124, 401.30253, 445.30592
707.44941, 427.28052, 369.25372, 304.21173, 501.42576
286.20129, 831.45459, 424.34201126431435, 810.48843, 796.54582
527.24409, 417.33255, 354.22725, 766.53508, 436.34196
399.3080109066375, 427.28052, 692.55833, 601.37111, 776.5194
802.53518, 473.34471, 332.25835, 502.29055, 746.56918
758.56891, 571.38106, 468.37955, 497.21411, 262.16484
601.39183, 404.2770851277154, 420.39474, 424.34201126431435, 364.2609694315088
