378.29993, 388.28196, 396.31080529956125, 401.26611
418.36788, 436.37869, 452.37322, 454.38871
290.26908, 316.2482056481534, 339.26162, 358.25883
266.1726384503182, 286.20129, 300.21684596607633, 314.2324720348041
308.19824, 318.24287, 326.20879, 341.2087
300.28957, 306.27658, 364.28205, 380.27694
319.26073, 336.28969, 346.271564930679, 352.28454
439.35321, 466.36377, 468.37955, 475.35023
398.32640195037504, 414.3213279285274, 416.33674, 458.34736
311.23434, 332.25835, 383.23083, 397.24623
598.43118, 616.44148, 644.43672, 658.45192
325.21377, 337.17737, 351.19307, 353.20869
615.47491, 645.48527, 772.58519, 796.58188
497.34469, 503.3582, 529.38481, 530.36854
358.30782, 374.3027759010889, 390.29770295545103, 406.2925856614979
417.31107, 460.31684, 462.33256, 506.3222
